Recipe Title,Region,Country,Servings,Calories (KCal),Protein (g),Fat (g),More Info,primary_key
Lamb and Asparagus Stew,Middle Eastern,Rest Middle Eastern,2,1161.65,44.21,94.81,more info,30
"Strawberry, Ginger and Mint Sekanjabin",Middle Eastern,Rest Middle Eastern,30,3285.95,6.25,2.07,more info,31
Persian-Style Tomato Avocado Salad,Middle Eastern,Rest Middle Eastern,4,275.37,13.88,2.29,more info,32
Shiraz Salad,Middle Eastern,Rest Middle Eastern,2,149.67,5.75,1.19,more info,33
Nazook (Sweet Persian Pastry),Middle Eastern,Rest Middle Eastern,30,1545.52,47.46,129.82,more info,34
Persian Fesenjun,Middle Eastern,Rest Middle Eastern,4,2229.8,1.76,245.16,more info,35
Ash-e-jow (Iranian_Persian Barley Soup),Middle Eastern,Rest Middle Eastern,8,827.29,12.8,51.2,more info,36
Persian Sabzi Polo (Herb Rice with Fava Beans),Middle Eastern,Rest Middle Eastern,16,1380.46,78.59,45.46,more info,37
Yakh Dar Behesht (Persian Milk Pudding),Middle Eastern,Rest Middle Eastern,4,2168.35,29.01,95.12,more info,38
Persian Herb and Cheese,Middle Eastern,Rest Middle Eastern,4,689.45,14.68,65.14,more info,39
Persian Rice,Middle Eastern,Rest Middle Eastern,8,497.04,8.15,48.65,more info,40
Savory Saffron Chicken Polow,Middle Eastern,Rest Middle Eastern,6,4198.07,241.44,151.68,more info,41
Persian Melon Salad,Middle Eastern,Rest Middle Eastern,12,391.85,6.24,2.06,more info,42
Ginger Sekanjabin,Middle Eastern,Rest Middle Eastern,20,3837.55,45.35,3.41,more info,43
Adas Polow (Persian Rice and Lentils),Middle Eastern,Rest Middle Eastern,8,3094.35,56.37,59.66,more info,44
Persian Lentil Stew,Middle Eastern,Rest Middle Eastern,8,870.65,27.41,48.15,more info,45
Duck Fesenjan,Middle Eastern,Rest Middle Eastern,8,1200,70.65,83.94,more info,46
Mast-o-Khiar,Middle Eastern,Rest Middle Eastern,6,1640.5,21.93,136.8,more info,47
Jarjeer (Arugula) Salad,Middle Eastern,Rest Middle Eastern,4,168.76,5.49,0.77,more info,48
Ash-e Reshteh (Persian Legume Soup),Middle Eastern,Rest Middle Eastern,6,1745.99,75.14,39.75,more info,49
Wheat Flour Halva,Middle Eastern,Rest Middle Eastern,8,1460.2,21.44,57.64,more info,50
Eggplant Mirza,Middle Eastern,Rest Middle Eastern,4,2207.92,401.81,45.03,more info,51
Iskender Kebab,Middle Eastern,Rest Middle Eastern,4,1213.57,37.99,73.17,more info,52
Khoresht Fesenjaan (Chicken with Pomegranate Sauce),Middle Eastern,Rest Middle Eastern,12,12093.63,256.33,1185.72,more info,53
Persian Shish Kabob,Middle Eastern,Rest Middle Eastern,4,2311.39,179.69,164.83,more info,54
Herbed Pomegranate Salsa,Middle Eastern,Rest Middle Eastern,4,452.49,4.94,29.38,more info,55
Persian Eggplant Stew,Middle Eastern,Rest Middle Eastern,4,3246.72,604.71,62.2,more info,56
Lubia Polo (Green Bean Rice),Middle Eastern,Rest Middle Eastern,6,3909.35,195.15,118.24,more info,57
Zeytoon Parvardeh (Persian Olive Pomegranate Dip),Middle Eastern,Rest Middle Eastern,8,1974.19,2.94,218.16,more info,58
Tas Kebab (Persian Lamb and Vegetable Stew),Middle Eastern,Rest Middle Eastern,4,1770.36,87.35,113.67,more info,59
Not-Quite-Persian Ghormeh Sabzi (Green Stew) for the Slow Cooker,Middle Eastern,Rest Middle Eastern,6,2057.32,215.52,44.86,more info,60
Flavorful Persian Braised Lamb Shanks,Middle Eastern,Rest Middle Eastern,4,2682.15,429.74,80.3,more info,61
Kabab Barg,Middle Eastern,Rest Middle Eastern,6,2422.4,145.7,173.56,more info,62
Ghormeh Sabzi (Persian Herb Stew),Middle Eastern,Rest Middle Eastern,6,2660.64,200.41,133.98,more info,63
Khoresht Bademjoumn,Middle Eastern,Rest Middle Eastern,6,1248.02,38.89,82.34,more info,64
Persian Pound Cake,Middle Eastern,Rest Middle Eastern,12,2678.14,59.26,86.26,more info,65
Fereni Starch Pudding,Middle Eastern,Rest Middle Eastern,6,1779.86,15.59,125,more info,66
Spinach Pancake,Middle Eastern,Rest Middle Eastern,2,806.96,33.57,62.05,more info,67
The Rebbetzin Chef's Persian Walnut Cookies,Middle Eastern,Rest Middle Eastern,36,3653.43,8.71,340.92,more info,68
Persian Cucumber Yogurt (Maast-o Khiar),Middle Eastern,Rest Middle Eastern,16,230.33,10.42,5.8,more info,69
Persian Yogurt Salad,Middle Eastern,Rest Middle Eastern,8,128.71,6.99,5.68,more info,70
Iranian Yogurt Dish,Middle Eastern,Rest Middle Eastern,6,1636,21.74,136.53,more info,71
Yazdi Cakes,Middle Eastern,Rest Middle Eastern,24,4494.85,100.38,314.2,more info,72
Persian Celery Sauce (Khoreshe Karafs),Middle Eastern,Rest Middle Eastern,6,1794.43,76.01,89.79,more info,73
Sekanjabin (Iranian Mint Vinegar Syrup),Middle Eastern,Rest Middle Eastern,32,0,0,0,more info,74
Turkey Kofta Kabobs,Middle Eastern,Rest Middle Eastern,12,762.8,105.86,30.69,more info,75
Persian Kabob,Middle Eastern,Rest Middle Eastern,6,1359.95,211.11,39.81,more info,76
Rice Pudding with Rose Water,Middle Eastern,Rest Middle Eastern,6,2209.12,33.49,137.53,more info,77
Middle Eastern Bean Dip (Foul Mudammas),Middle Eastern,Rest Middle Eastern,4,2294.83,129.97,44.08,more info,78
Wasabi and Soy Sauce Hummus,Middle Eastern,Rest Middle Eastern,6,1554.07,68.76,54.87,more info,79
Mama's Oh-So-Savory Lamb and Eggplant Casserole,Middle Eastern,Rest Middle Eastern,4,1601.87,95.78,115.85,more info,80
Mujadarra (Lentils with Rice),Middle Eastern,Rest Middle Eastern,8,3264.82,131.32,61.81,more info,81
Green Lentils and Rice Assyrian Style,Middle Eastern,Rest Middle Eastern,8,294.46,1.65,27.35,more info,82
Quick and Easy Falafel Salad,Middle Eastern,Rest Middle Eastern,4,1604.95,24.01,116.45,more info,83
Cilantro Tabouli,Middle Eastern,Rest Middle Eastern,6,379.56,6.36,29.14,more info,84
Baklava,Middle Eastern,Rest Middle Eastern,24,2225.4,55.11,128.53,more info,85
Tahini Spinach,Middle Eastern,Rest Middle Eastern,3,178.48,11.38,8.52,more info,86
Chalau,Middle Eastern,Rest Middle Eastern,6,2957.71,117.75,269.36,more info,87
Uzbek Plov (Lamb and Rice Pilaf),Middle Eastern,Rest Middle Eastern,8,3368.54,172.5,269.47,more info,88
Toasted Buckwheat Tabbouleh,Middle Eastern,Rest Middle Eastern,4,299.77,6.86,14.56,more info,89
Easy Black Bean Hummus,Middle Eastern,Rest Middle Eastern,12,1004.92,63.45,4.19,more info,90
Asparagus Cashew Rice Pilaf,Middle Eastern,Rest Middle Eastern,8,982.79,37.2,38.64,more info,91
Bamieh (Middle Eastern Okra Stew),Middle Eastern,Rest Middle Eastern,8,3562.72,189.27,245.61,more info,92
Sue's Baba Ghanoush,Middle Eastern,Rest Middle Eastern,8,833.56,6.09,86.58,more info,93
Easy Lamb Shawarma,Middle Eastern,Rest Middle Eastern,8,4374.76,307.87,315.55,more info,94
Figs and Rice,Middle Eastern,Rest Middle Eastern,4,665.89,24.36,48.76,more info,95
Quick Avocado Smoothie,Middle Eastern,Rest Middle Eastern,1,299.35,4.12,9.04,more info,96
Middle Eastern-Style Marzipan,Middle Eastern,Rest Middle Eastern,10,5784.47,0.1,654.06,more info,97
Southwestern Falafel,Middle Eastern,Rest Middle Eastern,6,668.17,23.41,20.17,more info,98
Date Brownies,Middle Eastern,Rest Middle Eastern,24,14731.9,213.52,624.15,more info,99
Algerian Bouzgene Berber Bread with Roasted Pepper Sauce,Middle Eastern,Rest Middle Eastern,5,3565.55,123.7,24.89,more info,100
Afghan Tomato Soup (Aush Goshti),Middle Eastern,Rest Middle Eastern,8,2238.84,138.81,64.53,more info,101
Jagic (Assyrian Cheese Spread),Middle Eastern,Rest Middle Eastern,20,1478.91,47.32,117.52,more info,102
Pakistani Pot Roast Beef Fillets (Pasanday),Middle Eastern,Rest Middle Eastern,8,3120.81,206.31,202.75,more info,103
Easy Mediterranean Pasta,Middle Eastern,Rest Middle Eastern,4,1334.01,59.9,62.67,more info,104
Eggplants in Red Sauce,Middle Eastern,Rest Middle Eastern,6,710.39,50.22,43.58,more info,105
Turkish Meatballs (Kofta),Middle Eastern,Rest Middle Eastern,6,1427.72,84.06,116.87,more info,106
Middle Eastern Cumin Meatballs,Middle Eastern,Rest Middle Eastern,4,1403.35,170.33,65.9,more info,107
Magpie's Easy Falafel Cakes,Middle Eastern,Rest Middle Eastern,3,1686.82,67.85,62.48,more info,108
Adeni Tea,Middle Eastern,Rest Middle Eastern,4,1027.66,8.32,86.18,more info,109
Sean's Falafel and Cucumber Sauce,Middle Eastern,Rest Middle Eastern,4,2052.44,93.73,55.68,more info,110
Almond Citrus Couscous,Middle Eastern,Rest Middle Eastern,3,1134.14,2,122.88,more info,111
Qabali - Afghani Rice,Middle Eastern,Rest Middle Eastern,16,650.35,6.78,43.01,more info,112
Sambousa,Middle Eastern,Rest Middle Eastern,10,4419.78,109.09,449.18,more info,113
Danielle's Fattoush Salad,Middle Eastern,Rest Middle Eastern,5,398.03,7.94,35.65,more info,114
Fasoliyyeh Bi Z-Zayt (Syrian Green Beans with Olive Oil),Middle Eastern,Rest Middle Eastern,4,5.39,0.27,0.03,more info,115
Savory Couscous Tabbouleh,Middle Eastern,Rest Middle Eastern,4,993.42,44.79,14,more info,116
Adas bil Hamod (Lebanese Lentil Lemon Soup),Middle Eastern,Rest Middle Eastern,8,691.95,102.22,17.96,more info,117
Chef John's Green Hummus,Middle Eastern,Rest Middle Eastern,6,2595.74,130.24,62.51,more info,118
Lamb Lover's Pilaf,Middle Eastern,Rest Middle Eastern,6,1872.88,91.51,144.58,more info,119
Armenian Circulation Juice,Middle Eastern,Rest Middle Eastern,8,476.19,11.93,3.26,more info,120
Mock Sou Boreg (Armenian Macaroni and Cheese),Middle Eastern,Rest Middle Eastern,12,614.26,104.99,16.81,more info,121
Tahini Dressing,Middle Eastern,Rest Middle Eastern,12,806.92,27.88,63.18,more info,122
Falafel-Crusted Cauliflower,Middle Eastern,Rest Middle Eastern,3,238.68,0,27,more info,123
Authentic Tabbouleh,Middle Eastern,Rest Middle Eastern,8,1410.49,22.33,112.9,more info,124
Company Couscous,Middle Eastern,Rest Middle Eastern,4,1164.01,33.03,43.96,more info,125
Upside Down (Maqluba),Middle Eastern,Rest Middle Eastern,6,316.03,15.46,6.7,more info,126
Tabbouleh,Middle Eastern,Rest Middle Eastern,11,1332.04,37.85,46.72,more info,127
Fava Bean Breakfast Spread,Middle Eastern,Rest Middle Eastern,6,1065.33,63.02,24.93,more info,128
Harisseh (Middle Eastern Sweets),Middle Eastern,Rest Middle Eastern,25,2970.84,25.44,223.74,more info,129
Tabbouleh II,Middle Eastern,Rest Middle Eastern,4,487.02,17.69,12.34,more info,130
Falafel Dough Pizza,Middle Eastern,Rest Middle Eastern,4,1804.43,72.49,93.75,more info,131
Baba Ghanuj,Middle Eastern,Rest Middle Eastern,8,548.43,15.21,29.73,more info,132
Koula's Best Ever Chicken Gyros,Middle Eastern,Rest Middle Eastern,4,2492.83,18.33,247.74,more info,133
B'stilla,Middle Eastern,Rest Middle Eastern,4,591.74,29.75,43.12,more info,134
Arabian Rose Water Pudding (Muhalbiyah),Middle Eastern,Rest Middle Eastern,8,567.33,1.73,0.49,more info,135
Falafel II,Middle Eastern,Rest Middle Eastern,8,577.21,100.16,8.32,more info,136
Fusion Hummus,Middle Eastern,Rest Middle Eastern,10,2804.79,123.26,90.23,more info,137
Sun-dried Tomato and Fennel Seed Hummus,Middle Eastern,Rest Middle Eastern,8,2659.1,113.61,107.41,more info,138
Harvey's Moroccan Roast Chicken,Middle Eastern,Rest Middle Eastern,4,1704.29,88.24,113.83,more info,139
Talamee,Middle Eastern,Rest Middle Eastern,24,2256.86,455.57,30.32,more info,140
Rose Petal Pound Cake,Middle Eastern,Rest Middle Eastern,12,3376.17,74.14,179.77,more info,141
Peppy's Pita Bread,Middle Eastern,Rest Middle Eastern,8,141.61,0,13.6,more info,142
Shuk Shuka,Middle Eastern,Rest Middle Eastern,4,724.8,46.22,43.89,more info,143
Lemon Tabouli,Middle Eastern,Rest Middle Eastern,8,1335.85,35.74,44.55,more info,144
Weaam's Baba Ghanouj,Middle Eastern,Rest Middle Eastern,12,485.37,11.93,43.41,more info,145
Spinach Triangles (Fatayer Sabanegh),Middle Eastern,Rest Middle Eastern,15,1739.48,69.74,130.6,more info,146
Bechamel Chicken Pasta,Middle Eastern,Rest Middle Eastern,8,1185.62,39.81,87.71,more info,147
Easy Hummus,Middle Eastern,Rest Middle Eastern,16,1173.93,62.76,18.67,more info,148
Tasteful Tahini Salad Dressing,Middle Eastern,Rest Middle Eastern,16,1706.43,29.51,165.8,more info,149
Hummus IV,Middle Eastern,Rest Middle Eastern,40,2563.91,132.14,58.06,more info,150
Hummus II,Middle Eastern,Rest Middle Eastern,40,3649.9,196.8,142.63,more info,151
Funky Popcorn,Middle Eastern,Rest Middle Eastern,3,270.9,18.23,14.88,more info,152
Chicken Curry and Potatoes,Middle Eastern,Rest Middle Eastern,8,680.27,7.08,56.78,more info,153
Curried Stew with Lamb,Middle Eastern,Rest Middle Eastern,8,4575.8,255.42,207.17,more info,154
Cheese Sambusa,Middle Eastern,Rest Middle Eastern,15,541.4,18.48,41.11,more info,155
Quick Sun-Dried Tomato and Basil Hummus,Middle Eastern,Rest Middle Eastern,20,1718.9,71.03,73.33,more info,156
Upside Down,Middle Eastern,Rest Middle Eastern,8,2459.79,117.44,74.61,more info,157
Roasted Beetroot and Garlic Hummus,Middle Eastern,Rest Middle Eastern,6,1313.8,67.1,32.87,more info,158
Chicken Livers with Pomegranate Molasses,Middle Eastern,Rest Middle Eastern,4,1656.61,157.37,99.42,more info,159
Mast-o-Laboo (Beet Yogurt),Middle Eastern,Rest Middle Eastern,12,267.42,12.88,8.42,more info,160
Middle Eastern-Style Burek,Middle Eastern,Rest Middle Eastern,10,6597.6,159.53,666.71,more info,161
Arabic Green Beans with Beef,Middle Eastern,Rest Middle Eastern,12,1834.23,219.97,67.46,more info,162
Kafta (Meat Fingers) with Tahini,Middle Eastern,Rest Middle Eastern,3,1715.5,98.39,129.93,more info,163
Roasted Garlic Green Hummus,Middle Eastern,Rest Middle Eastern,8,1957.82,72.26,100.93,more info,164
Afghan Beef Raviolis (Mantwo),Middle Eastern,Rest Middle Eastern,4,1209.17,100.79,65.71,more info,165
Chicken Shwarma,Middle Eastern,Rest Middle Eastern,4,659.96,97.77,23.86,more info,166
Awesome Red Pepper Hummus Dip,Middle Eastern,Rest Middle Eastern,12,1314.49,67.12,32.55,more info,167
Lentil and Bulgur Salad,Middle Eastern,Rest Middle Eastern,6,809.31,31.65,17.78,more info,168
Middle Eastern Turkey Dogs,Middle Eastern,Rest Middle Eastern,4,668.88,98.97,26.44,more info,169
Baked Sweet Potato Falafel,Middle Eastern,Rest Middle Eastern,6,1225.75,68.65,23.51,more info,170
Falafel I,Middle Eastern,Rest Middle Eastern,4,2102.89,104.42,67.4,more info,171
Hummus from Scratch,Middle Eastern,Rest Middle Eastern,8,1261.85,60.84,46.55,more info,172
Alternative Tabbouleh (Tabouli),Middle Eastern,Rest Middle Eastern,8,331.13,3.22,27.87,more info,173
Shish Tawook Grilled Chicken,Middle Eastern,Rest Middle Eastern,6,1563.25,191.07,65.7,more info,174
Turnip Stew-Arabic Style,Middle Eastern,Rest Middle Eastern,6,2042.53,122.67,5.5,more info,175
Syrian-Style Lentil and Spinach Soup,Middle Eastern,Rest Middle Eastern,4,198,2.49,13.84,more info,176
Tzatziki VII,Middle Eastern,Rest Middle Eastern,7,145.04,7.41,5.86,more info,177
Chickpea Falafel Burgers,Middle Eastern,Rest Middle Eastern,4,1585.7,79.35,36.97,more info,178
Eggless Date Cake,Middle Eastern,Rest Middle Eastern,8,9424.8,70.72,179.8,more info,179
Lavash Cracker Bread,Middle Eastern,Rest Middle Eastern,30,113.1,5.39,0.8,more info,180
Seared Rabbit with Rosemary Potatoes,Middle Eastern,Rest Middle Eastern,6,2554.94,542.39,13.98,more info,181
Traditional Muhammara (Syrian Hot Pepper Dip),Middle Eastern,Rest Middle Eastern,8,2419.11,0.67,272.05,more info,182
Kofta,Middle Eastern,Rest Middle Eastern,4,1032.75,93.08,62.67,more info,183
Roasted Eggplant and Garlic Hummus,Middle Eastern,Rest Middle Eastern,12,1381.05,61.76,45.14,more info,184
Slow Cooker Moroccan Chicken,Middle Eastern,Rest Middle Eastern,6,2762.24,185.25,101.98,more info,185
Simple Falafel (Chickpea Burgers),Middle Eastern,Rest Middle Eastern,4,1872.83,91.66,47.8,more info,186
Umm Ali,Middle Eastern,Rest Middle Eastern,8,2606.78,51.31,138.29,more info,187
"Lamb, Carrot, and White Bean Curry Stew",Middle Eastern,Rest Middle Eastern,6,1882.32,86.49,160.66,more info,188
Chef John's Falafel,Middle Eastern,Rest Middle Eastern,6,819.38,43.13,12.91,more info,189
Balela Salad,Middle Eastern,Rest Middle Eastern,10,4786.82,250.58,98.94,more info,190
Basil and Pesto Hummus,Middle Eastern,Rest Middle Eastern,5,1260.97,61.79,31.64,more info,191
Apricot Almond Pilaf,Middle Eastern,Rest Middle Eastern,4,719.88,7.12,69.24,more info,192
Mahalabia (Middle Eastern-Style Milk Pudding),Middle Eastern,Rest Middle Eastern,6,1617.9,26.59,67.25,more info,193
Rose Scented Tapioca Pudding,Middle Eastern,Rest Middle Eastern,4,792.49,30.16,32.53,more info,194
Noni Afghani,Middle Eastern,Rest Middle Eastern,8,644.17,9.03,60.28,more info,195
Kubbe,Middle Eastern,Rest Middle Eastern,25,8037.23,147.52,827.88,more info,196
Baba Ghanoush,Middle Eastern,Rest Middle Eastern,12,372.37,5.93,34.82,more info,197
Goat Shoulder Braised with Prunes and Preserved Lemons,Middle Eastern,Rest Middle Eastern,6,4023.26,306.34,42.41,more info,198
Mid-Eastern Chicken Thighs,Middle Eastern,Rest Middle Eastern,6,5173.81,121.54,508.32,more info,199
Ghraybeh Cookies,Middle Eastern,Rest Middle Eastern,24,60030.77,69.53,6657.54,more info,200
A Vegetable Stew - Tabakh Rohoo,Middle Eastern,Rest Middle Eastern,8,2053.23,117.34,112.86,more info,201
Meatballs with Raisins and Honey,Middle Eastern,Rest Middle Eastern,6,2713.97,130.56,176.02,more info,202
Real Hummus,Middle Eastern,Rest Middle Eastern,20,1561,67.12,59.67,more info,203
Hummus III,Middle Eastern,Rest Middle Eastern,16,2110.55,96.78,76.26,more info,204
Kuwaiti Traditional Tea,Middle Eastern,Rest Middle Eastern,1,16.38,0,0,more info,205
Chicken Shawarmas,Middle Eastern,Rest Middle Eastern,4,594.23,5.96,60.81,more info,206
Chef John's Baba Ghanoush,Middle Eastern,Rest Middle Eastern,12,266.91,8.42,21.66,more info,207
Kofta Kebabs,Middle Eastern,Rest Middle Eastern,28,1273.64,79.17,99.65,more info,208
Lahmajoon,Middle Eastern,Rest Middle Eastern,24,2724.45,184.35,180.79,more info,209
Beetroot Hummus,Middle Eastern,Rest Middle Eastern,8,2323.02,78.6,127.74,more info,210
Fatoosh,Middle Eastern,Rest Middle Eastern,6,685.18,9.55,56.66,more info,211
Eggplant Caviar,Middle Eastern,Rest Middle Eastern,6,425.38,2.93,42.54,more info,212
Quick Couscous with Raisins and Carrots,Middle Eastern,Rest Middle Eastern,6,1650.31,54.9,32.73,more info,213
Middle Eastern Balela Salad,Middle Eastern,Rest Middle Eastern,4,2272.88,132.01,23.98,more info,214
Smoky Eggplant and Yogurt Salad,Middle Eastern,Rest Middle Eastern,4,332.94,13.19,23.44,more info,215
Tahini Salad,Middle Eastern,Rest Middle Eastern,4,1390.18,37.11,114.6,more info,216
Easy Curry Couscous,Middle Eastern,Rest Middle Eastern,6,2473.87,55.19,120.63,more info,217
Creamy Yogurt Hummus,Middle Eastern,Rest Middle Eastern,24,1164.74,61.99,18.41,more info,218
Easy Shakshuka,Middle Eastern,Rest Middle Eastern,4,568.21,29.03,34.09,more info,219
Basboosa II,Middle Eastern,Rest Middle Eastern,9,3274.2,66.17,123.59,more info,220
Colossal American Falafel,Middle Eastern,Rest Middle Eastern,6,3659.71,160.1,158.53,more info,221
Lahmahjoon (Armenian Pizza),Middle Eastern,Rest Middle Eastern,4,1531.84,90.69,99.97,more info,222
Ground Beef and Tahini,Middle Eastern,Rest Middle Eastern,6,2240.88,132,146.9,more info,223
Arugula Salad with Pomegranate Molasses,Middle Eastern,Rest Middle Eastern,2,20.57,0.28,0.19,more info,224
Syrian Bread,Middle Eastern,Rest Middle Eastern,8,242.59,0,27.2,more info,225
Whole Wheat Pita Bread,Middle Eastern,Rest Middle Eastern,12,1231.02,72.85,30.59,more info,226
Black Bean Hummus with Tahini,Middle Eastern,Rest Middle Eastern,10,1519.73,75.98,51.5,more info,227
North African Sweet Potato Burgers,Middle Eastern,Rest Middle Eastern,8,783.71,27.63,43.99,more info,228
Chef John's Harissa Sauce,Middle Eastern,Rest Middle Eastern,6,243.02,0.39,27.6,more info,229
Schwarma,Middle Eastern,Rest Middle Eastern,8,1353.9,192.98,17.76,more info,230
Potato Pancakes with an Eastern Twist - Gluten-Free,Middle Eastern,Rest Middle Eastern,3,330.07,17.76,7.52,more info,231
Shish Tawook Marinated Chicken,Middle Eastern,Rest Middle Eastern,6,2190.87,285.12,98.85,more info,232
Vegan-Friendly Falafel,Middle Eastern,Rest Middle Eastern,10,5793.1,96.4,478.16,more info,233
White Bean Tabbouleh,Middle Eastern,Rest Middle Eastern,6,598.82,6.69,55.5,more info,234
Middle Eastern White Beans,Middle Eastern,Rest Middle Eastern,6,465.13,11.66,29.06,more info,235
Middle Eastern Garlic Sauce,Middle Eastern,Rest Middle Eastern,10,981.45,0.28,109.19,more info,236
Fava Bean Salad,Middle Eastern,Rest Middle Eastern,4,1236.45,63.67,45.34,more info,237
Pan-Fried Falafel,Middle Eastern,Rest Middle Eastern,4,3656.88,86.74,247.75,more info,238
Falafels with Yogurt-Dill Sauce,Middle Eastern,Rest Middle Eastern,4,3524.7,82.44,267.76,more info,239
Basmati with Toasted Noodles,Middle Eastern,Rest Middle Eastern,6,919.33,13.63,28.33,more info,240
Coriander Tabbouleh Salad with Shrimp,Middle Eastern,Rest Middle Eastern,4,447.51,4.08,42.5,more info,241
Couscous Royale,Middle Eastern,Rest Middle Eastern,6,7449.71,286.72,448.12,more info,242
Lamb Ribs with Honey and Wine,Middle Eastern,Rest Middle Eastern,6,6214.53,240.03,560.4,more info,243
Baghdad Beef Stew,Middle Eastern,Rest Middle Eastern,4,2718.69,26.82,259.29,more info,244
Eggs with Tomatoes,Middle Eastern,Rest Middle Eastern,4,669.21,42.74,30.56,more info,245
Bulgur Pilaf with Lamb,Middle Eastern,Rest Middle Eastern,4,2434.95,129.05,91.12,more info,246
Quick and Easy Hummus,Middle Eastern,Rest Middle Eastern,7,1309.46,66.92,32.53,more info,247
Tomato Freekeh,Middle Eastern,Rest Middle Eastern,6,802.57,25.52,29.29,more info,248
Kanafa,Middle Eastern,Rest Middle Eastern,8,2198.25,60.6,163.3,more info,249
"Chicken Breasts in a Date, Caper, and Mascarpone Sauce with Couscous",Middle Eastern,Rest Middle Eastern,2,1789.48,27.37,20.88,more info,250
Armenian Shish Kabob,Middle Eastern,Rest Middle Eastern,6,3247.22,169.67,264.01,more info,251
Malooba,Middle Eastern,Rest Middle Eastern,6,2185.78,37.69,46.65,more info,252
Vermicelli Pudding,Middle Eastern,Rest Middle Eastern,4,4825.57,75.49,37.98,more info,253
Mama Marie's Moroccan Tuna Brik,Middle Eastern,Rest Middle Eastern,20,723.27,21.27,19.26,more info,254
Authentic Falafels,Middle Eastern,Rest Middle Eastern,6,906.9,45.66,22.99,more info,255
Salata,Middle Eastern,Rest Middle Eastern,9,2438.82,20.61,243.8,more info,256
Armenian Lentils,Middle Eastern,Rest Middle Eastern,4,749.68,22.19,46,more info,257
Robin's Best Ever Hummus,Middle Eastern,Rest Middle Eastern,8,1892.99,70.18,93.96,more info,258
Hamusta Soup,Middle Eastern,Rest Middle Eastern,6,217.03,8.6,1.92,more info,259
Kefta,Middle Eastern,Rest Middle Eastern,10,2322.8,130.48,176.6,more info,260
Raw Hummus,Middle Eastern,Rest Middle Eastern,20,1877.52,73.06,89.83,more info,261
Moutabel,Middle Eastern,Rest Middle Eastern,64,594.37,20.84,34.44,more info,262
Tabbouleh I,Middle Eastern,Rest Middle Eastern,8,1320.2,27.28,76.48,more info,263
Al Kabsa - Traditional Saudi Rice and Chicken,Middle Eastern,Rest Middle Eastern,8,1313.08,24,86.68,more info,264
