Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g),recipe_key
olive oil,1,tablespoon,,119.34,0,0,13.5,11
onion,1,,chopped,44,10.27,1.21,0.11,11
fava bean,1,can,drained,766.86,131.08,58.74,3.44,11
lemon,1,,juiced,1.11,0.35,0.01,0.01,11
tahini,1/3,cup,,456,20.95,14.24,38.4,11
garlic,5,cloves,crushed,22.35,4.95,0.95,0.07,11
salt pepper,to taste,,,-,-,-,-,11
egg,4,,beaten,286,1.44,25.12,19.02,12
black pepper,1/2,teaspoon,,2.88,0.73,0.11,0.03,12
feta cheese,3,tablespoons,crumbled,74.25,1.15,3.99,5.98,12
milk,1,teaspoon,,3.1,0.24,0.16,0.16,12
vegetable oil,1,tablespoon,,117.23,0,0,13.6,12
chicken giblet,1,,quartered,965.6,0.58,83.09,67.22,13
salt black pepper,to taste,,ground,-,-,-,-,13
butter,2,tablespoons,clarified,171,7.85,5.34,14.4,13
onion,1,,trimmed,64,14.94,1.76,0.16,13
clove,4,,,23.01,5.5,0.5,1.09,13
cardamom pod,4,,,-,-,-,-,13
bay leaf,1,,,-,-,-,-,13
water,1,quart,,-,-,-,-,13
almond,2/3,cup,chopped blanched,1284.74,0,0,145.33,14
sesame seed,2,tablespoons,,171,7.85,5.34,14.4,14
red chile powder,4,teaspoons,,5,1.1,0.23,0.05,14
turmeric,2,teaspoons,ground,18.72,4.02,0.58,0.19,14
onion salt,1,teaspoon,,-,-,-,-,14
celery salt,1,teaspoon,,-,-,-,-,14
cumin seed,1,teaspoon,,7.87,0.92,0.37,0.46,14
coriander,1,teaspoon,ground,5.36,0.98,0.22,0.31,14
cayenne pepper,1,pinch,ground,0.35,0.06,0.01,0.01,14
water,3,cups,divided,0,0,0,0,15
white sugar,2,cups,divided,1548,399.92,0,0,15
lime,1,,juiced,1.26,0.42,0.02,0,15
vanilla extract,2,teaspoons,divided,24.19,1.06,0,0,15
vegetable oil,2 1/2,cups,,4697.9,0,0,545,15
salt,1/2,teaspoon,,-,-,-,-,15
purpose flour,1,cup,,-,-,-,-,15
egg,4,,,286,1.44,25.12,19.02,15
corn oil,2,cups,,3924,0,0,436,15
shortening,1/3,cup,,604.06,0,0,68.33,16
white sugar,1,cup,,774,199.96,0,0,16
egg,2,,,143,0.72,12.56,9.51,16
rosewater,1,teaspoon,,-,-,-,-,16
purpose flour,2,cups,,-,-,-,-,16
salt,1/4,teaspoon,,-,-,-,-,16
beef,1,pound,ground,898.11,0,88.08,57.74,17
onion,1,,diced,64,14.94,1.76,0.16,17
egg yolk,1,,,54.74,0.61,2.69,4.51,17
oregano,2,tablespoons,chopped,15.9,4.13,0.54,0.25,17
salt pepper,to taste,,,-,-,-,-,17
bamboo skewer,1,,,-,-,-,-,17
puff pastry,1,package,thawed,-,-,-,-,18
milk,5,cups,,744.2,58.31,38.43,39.89,18
white sugar,1,cup,,774,199.96,0,0,18
vanilla extract,1,teaspoon,,12.09,0.53,0,0,18
raisin,1/4,cup,,124.57,32.8,1.39,0.18,18
almond,1/4,cup,slivered,481.78,0,0,54.5,18
pine nut,1/4,cup,,227.13,4.41,4.62,23.07,18
pistachio nut,1/4,cup,chopped,172.2,8.35,6.19,13.93,18
coconut,1/4,cup,sweetened flaked,70.8,3.04,0.66,6.69,18
brown lentil,3/4,cup,,-,-,-,-,19
water,4,cups,,0,0,0,0,19
grain rice,3/4,cup,uncooked,506.43,110.93,9.89,0.91,19
elbow macaroni,1,cup,,-,-,-,-,19
vegetable oil,2,tablespoons,,234.46,0,0,27.2,19
onion,2,,chopped,120,28.02,3.3,0.3,19
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,19
tomato,1,can,diced,40.2,8.68,1.96,0.44,19
red pepper flake,1/4,teaspoon,,-,-,-,-,19
salt pepper,to taste,,,-,-,-,-,19
purpose flour,2,cups,,-,-,-,-,20
salt,1,teaspoon,,-,-,-,-,20
milk,3/4,cup,,111.63,8.74,5.76,5.98,20
olive oil,1,tablespoon,,119.34,0,0,13.5,20
fava bean,2,cups,split,1023,174.87,78.36,4.59,21
red onion,1,,quartered,64,14.94,1.76,0.16,21
parsley,1/2,cup,,10.8,1.89,0.89,0.23,21
cilantro,1/2,cup,,1.84,0.29,0.17,0.04,21
dill,1/2,cup,,153.72,27.8,8.05,7.32,21
garlic,3,cloves,,13.41,2.97,0.57,0.04,21
coriander,1 1/2,teaspoons,ground,8.04,1.48,0.33,0.47,21
salt,1,1/2 teaspoons,,-,-,-,-,21
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,21
sesame seed,1,cup,,1368,62.85,42.74,115.2,21
vegetable oil,,,,-,-,-,-,21
vegetable oil,1,tablespoon,,117.23,0,0,13.6,22
white rice,2,cups,uncooked,1350.5,295.81,26.38,2.44,22
water,3,cups,,0,0,0,0,22
salt,1,teaspoon,,-,-,-,-,22
elbow macaroni,1,package,uncooked,-,-,-,-,22
beluga lentil,1,cup,,-,-,-,-,22
salt,1/2,teaspoon,,-,-,-,-,22
vegetable oil,1,tablespoon,,117.23,0,0,13.6,22
onion,5,,minced,320,74.72,8.8,0.8,22
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,22
white vinegar,3,tablespoons,distilled,8.04,0.01,0,0,22
tomato,4,,ripe diced,248.27,55.05,12.95,2.15,22
tomato paste,1/2,cup,,108.24,24.96,5.7,0.62,22
salt,1,1/2 teaspoons,,-,-,-,-,22
black pepper,1,teaspoon,ground,5.77,1.47,0.23,0.07,22
cumin,2 1/2,teaspoons,ground,19.68,2.32,0.93,1.16,22
cayenne pepper,1/4,teaspoon,,1.43,0.25,0.05,0.07,22
water,1 1/2,cups,,0,0,0,0,23
white sugar,1,cup,,774,199.96,0,0,23
lemon juice,1,teaspoon,,1.11,0.35,0.01,0.01,23
ricotta cheese,1,container,,-,-,-,-,23
cornstarch,1,teaspoon,,10.16,2.43,0,0,23
purpose flour,2 1/2,cups,,-,-,-,-,23
yeast,1,1/2,,11.1,1.22,1.43,0.05,23
water,3,cups,,0,0,0,0,23
oil,3,cups,,5387.4,0,1.72,611.8,23
olive oil,1 1/2,tablespoons,,179.01,0,0,20.25,24
vermicelli,1/4,cup,,150.51,31.86,4.47,0.55,24
egyptian rice,1,cup,,-,-,-,-,24
salt,to taste,,,-,-,-,-,24
water,1 3/4,cups,,0,0,0,0,24
leek,2,pounds,trimmed,553.38,128.36,13.6,2.72,25
beef,1,pound,ground,898.11,0,88.08,57.74,25
white bread crumb,1,cup,,119.7,22.23,3.98,1.49,25
egg,2,,,143,0.72,12.56,9.51,25
salt black pepper,to taste,,ground,-,-,-,-,25
olive oil,1,tablespoon,,119.34,0,0,13.5,25
water,3/4,cup,,0,0,0,0,25
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,25
butter,1,tablespoon,,85.5,3.92,2.67,7.2,25
beef stew meat,1,pound,cubed,449.05,35.6,20,25.08,26
butter,2,tablespoons,,171,7.85,5.34,14.4,26
canola oil,1,tablespoon,,123.76,0,0,14,26
onion,4,,sliced,256,59.77,7.04,0.64,26
chicken bouillon,2,cubes,,21.36,1.44,1.33,1.11,26
bay leaf,1,,,-,-,-,-,26
salt black pepper,to taste,,ground,-,-,-,-,26
water,1 1/2,cups,,0,0,0,0,26
cumin,2,teaspoons,ground,15.75,1.85,0.74,0.93,27
head cauliflower,1,,cut,-,-,-,-,27
purpose flour,1,cup,,-,-,-,-,27
egg,1,,,71.5,0.36,6.28,4.75,27
garlic,2,cloves,,8.94,1.98,0.38,0.03,27
cumin,1,teaspoon,ground,15.75,1.85,0.74,0.93,27
tomato paste,1,tablespoon,,13.12,3.02,0.69,0.07,27
salt,to taste,,,-,-,-,-,27
milk,1/4,cup,,37.21,2.91,1.92,1.99,27
vegetable oil,2,cups,,3758.32,0,0,436,27
tomato,4,,ripe seeded diced,248.27,55.05,12.95,2.15,28
red onion,1,,diced,-,-,-,-,28
english cucumber,2,,peeled diced,-,-,-,-,28
olive oil,3,tablespoons,,358.02,0,0,40.5,28
lemon,,,juiced,-,-,-,-,28
mint,1,tablespoon,,2.5,0.47,0.18,0.04,28
dill,1,teaspoon,,6.4,1.15,0.33,0.3,28
sumac,1,teaspoon,ground,-,-,-,-,28
salt black pepper,to taste,,ground,-,-,-,-,28
olive oil,2,tablespoons,,238.68,0,0,27,29
chicken leg,1 1/2,pounds,cut,1455.2,1.15,111.31,108.46,29
white onion,1,,sliced,64,14.94,1.76,0.16,29
walnut,1/2,pound,toasted,2004.88,0,0,226.79,29
salt,1,teaspoon,,-,-,-,-,29
pomegranate juice,4,cups,,537.84,130.77,1.49,2.88,29
cardamom,1/2,teaspoon,,3.11,0.68,0.1,0.06,29
sugar,2,tablespoons,,110.12,27.54,0,0,29
vegetable oil,3,tablespoons,,351.69,0,0,40.8,30
onion,1,,chopped,64,14.94,1.76,0.16,30
lamb meat,1/2,pound,cubed,639.57,0,37.55,53.09,30
salt,1/2,teaspoon,,-,-,-,-,30
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,30
turmeric,1,tablespoon,ground,29.32,6.31,0.9,0.3,30
tomato paste,1/2,can,,69.7,16.07,3.67,0.39,30
water,1,cup,,0,0,0,0,30
garlic,1,clove,chopped,4.47,0.99,0.19,0.01,30
asparagus,1,bunch,trimmed cut,-,-,-,-,30
white sugar,4,cups,,3096,799.84,0,0,31
water,2,cups,,0,0,0,0,31
strawberry,12,ounces,chopped,108.86,26.12,2.27,1.02,31
mint,1,cup,chopped,40.12,7.66,3,0.66,31
ginger,1/2,cup,sliced,38.4,8.52,0.87,0.36,31
lemon,2,,peeled juiced,2.56,0.82,0.09,0.02,31
white balsamic vinegar,1,cup,distilled,-,-,-,-,31
tomato,4,,ripe diced,248.27,55.05,12.95,2.15,32
ha avocado,2,,diced,-,-,-,-,32
garlic,1,clove,minced,4.47,0.99,0.19,0.01,32
red onion,3,tablespoons,chopped,12,2.8,0.33,0.03,32
cilantro,6,sprigs,chopped,3.06,0.48,0.28,0.06,32
lime juice,2,tablespoons,,7.56,2.54,0.12,0.02,32
salt black pepper,to taste,,ground,-,-,-,-,32
lime,1,,sliced,-,-,-,-,32
cucumber,2,,diced,37.92,6.82,1.86,0.5,33
tomato,1,,diced,40.2,8.68,1.96,0.44,33
onion,1,,diced,64,14.94,1.76,0.16,33
lemon juice,2,tablespoons,,6.71,2.1,0.1,0.07,33
mint,1,teaspoon,chopped,0.83,0.15,0.06,0.01,33
salt black pepper,to taste,,ground,-,-,-,-,33
dough,,,,-,-,-,-,34
cream,1,cup,sour,455.4,10.64,5.61,44.5,34
white sugar,2,teaspoons,,32.5,8.39,0,0,34
yeast,1,(,,11.1,1.22,1.43,0.05,34
egg,1,,,71.5,0.36,6.28,4.75,34
white vinegar,1,tablespoon,,2.68,0,0,0,34
vegetable oil,1,tablespoon,,117.23,0,0,13.6,34
purpose flour,3,cups,,-,-,-,-,34
butter,1/2,cup,,684,31.42,21.37,57.6,34
filling,,,,-,-,-,-,34
butter,1,pound,melted,684,31.42,21.37,57.6,34
white sugar,2 1/2,cups,,32.5,8.39,0,0,34
vanilla extract,2,teaspoons,,24.19,1.06,0,0,34
purpose flour,4,cups,,-,-,-,-,34
egg white,2,,,34.32,0.48,7.19,0.11,34
glaze,,,,-,-,-,-,34
egg yolk,2,,,109.48,1.22,5.39,9.02,34
yogurt,1,teaspoon,,3.11,0.23,0.17,0.16,34
olive oil,2,tablespoons,,238.68,0,0,27,35
onion,1,,chopped,64,14.94,1.76,0.16,35
chicken breast half,4,,skinless boneless,-,-,-,-,35
walnut,1,cup,ground,1927.12,0,0,218,35
pomegranate paste,1,bottle,,-,-,-,-,35
chicken stock,2,quarts,,-,-,-,-,36
vegetable oil,2,tablespoons,,234.46,0,0,27.2,36
onion,1,,diced,44,10.27,1.21,0.11,36
pearl barley,1,cup,uncooked,193.11,44.3,3.54,0.69,36
turmeric,1,teaspoon,,9.36,2.01,0.29,0.09,36
lime,1,,juiced,1.26,0.42,0.02,0,36
tomato paste,1/4,cup,,54.12,12.48,2.85,0.31,36
salt,,,,-,-,-,-,36
black pepper,,,ground,-,-,-,-,36
carrot,1,cup,diced,52.48,12.26,1.19,0.3,36
cream,1/2,cup,sour,227.7,5.32,2.8,22.25,36
parsley,1/2,cup,chopped,10.8,1.89,0.89,0.23,36
lime wedge,8,,,-,-,-,-,36
water,6,cups,,0,0,0,0,37
grain white rice,4,cups,uncooked,-,-,-,-,37
vegetable oil,3,tablespoons,,351.69,0,0,40.8,37
water,1/2,cup,,0,0,0,0,37
dill,1,bunch,chopped,-,-,-,-,37
parsley,1,bunch,chopped,-,-,-,-,37
cilantro,1,bunch,chopped,-,-,-,-,37
fava bean,2,cups,,1023,174.87,78.36,4.59,37
turmeric,,,ground,-,-,-,-,37
cinnamon,,,ground,-,-,-,-,37
salt,1,teaspoon,,-,-,-,-,37
pepper,1,teaspoon,,5.77,1.47,0.23,0.07,37
rice flour,3/4,cup,,433.71,94.95,7.05,1.68,38
water,2,cups,,0,0,0,0,38
milk,2,cups,,297.68,23.32,15.37,15.95,38
heavy whipping cream,1,cup,,408,3.28,3.4,43.29,38
cornstarch,1/4,cup,,121.92,29.2,0.08,0.01,38
white sugar,3/4,cup,,580.5,149.97,0,0,38
rose water,5,tablespoons,,0,0,0,0,38
pistachio,2,tablespoons,crushed,86.1,4.17,3.09,6.96,38
almond,2,tablespoons,chopped,240.44,0,0,27.2,38
rose petal,1,tablespoon,,-,-,-,-,38
green onion,3,,quartered,57.51,12.22,2.06,1,39
basil,1,sprig,,-,-,-,-,39
tarragon,1,sprig,,-,-,-,-,39
mint,1,sprig,,-,-,-,-,39
cilantro,1,sprig,,0.51,0.08,0.04,0.01,39
pita bread,4,,quartered,-,-,-,-,39
feta cheese,3,ounces,crumbled,224.53,3.47,12.08,18.09,39
butter,1/4,cup,unsalted softened,406.89,0.03,0.48,46.02,39
water,3,quarts,,0,0,0,0,40
kosher salt,3,tablespoons,,-,-,-,-,40
basmati rice,2,cups,rinsed,-,-,-,-,40
cumin,1,pinch,ground,0.49,0.05,0.02,0.02,40
salt,to taste,,,-,-,-,-,40
olive oil,2,tablespoons,,238.68,0,0,27,40
russet potato,1,,cut,-,-,-,-,40
butter,3,tablespoons,cut,256.5,11.78,8.01,21.6,40
saffron thread,1,pinch,,-,-,-,-,40
water,1 1/2,tablespoons,,0,0,0,0,40
parsley,1,tablespoon,chopped,1.36,0.24,0.11,0.03,40
water,5 1/3,cups,,0,0,0,0,41
olive oil,6 1/2,tablespoons,divided,775.71,0,0,87.75,41
yellow saffron rice,16,ounces,,403.46,0,89.76,2.26,41
yellow onion,2,,chopped,229.68,13.67,1.65,18.79,41
garlic,1,clove,minced,4.47,0.99,0.19,0.01,41
chicken breast half,2,pounds,skinless boneless cut,403.46,0,89.76,2.26,41
chicken broth,2,cups,,156.24,3.78,22.27,5.24,41
chickpea,2,cans,drained,2266.86,377.51,122.75,36.22,41
raisin,4,ounces,,342.46,90.17,3.84,0.52,41
paprika,1,tablespoon,,19.17,3.67,0.96,0.87,41
honeydew melon baller,1,,,-,-,-,-,42
cantaloupe melon baller,1,,,-,-,-,-,42
watermelon melon baller,1/4,,,-,-,-,-,42
grape,1,bunch,,-,-,-,-,42
pineapple,1,,peeled cored cut,82.5,21.64,0.89,0.19,42
ginger,2,tablespoons,pickled,9.6,2.13,0.21,0.09,42
orange juice,1,cup,,111.6,25.79,1.73,0.49,42
lime juice,1/4,cup,,15.12,5.09,0.25,0.04,42
white sugar,1,tablespoon,,48.76,12.59,0,0,42
mint,1/4,cup,chopped,10.03,1.91,0.75,0.16,42
strawberry,1,pint,hulled,114.24,27.41,2.39,1.07,42
mint,4,sprigs,,10.03,1.91,0.75,0.16,42
white sugar,4,cups,,3096,799.84,0,0,43
water,2 1/2,cups,,0,0,0,0,43
red,1,cup,,703.15,128.69,44.48,3.05,43
ginger,1/2,cup,minced,38.4,8.52,0.87,0.36,43
white rice,1,pound,uncooked,1655.61,362.64,32.34,2.99,44
water,4,cups,,0,0,0,0,44
salt,1/2,teaspoon,,-,-,-,-,44
water,2,cups,,0,0,0,0,44
salt,to taste,,,-,-,-,-,44
lentil,2,cups,rinsed,163.24,34.09,13.79,0.84,44
vegetable oil,1/4,cup,divided,469.79,0,0,54.5,44
onion,2,,sliced,120,28.02,3.3,0.3,44
saffron,1/2,teaspoon,,1.08,0.22,0.04,0.02,44
water,1/3,cup,,0,0,0,0,44
date,3/4,cup,pitted chopped,310.9,82.72,2.7,0.43,44
raisin,3/4,cup,,373.72,98.4,4.19,0.56,44
lentil,2,cups,,163.24,34.09,13.79,0.84,45
butter,1,tablespoon,,85.5,3.92,2.67,7.2,45
carrot,2,,chopped,104.96,24.52,2.38,0.61,45
celery,3,stalks,chopped,30.72,5.7,1.32,0.32,45
yellow onion,1,,chopped,114.84,6.83,0.82,9.39,45
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,45
paprika,2,tablespoons,ground,38.35,7.34,1.92,1.75,45
turmeric,2,tablespoons,ground,58.65,12.62,1.81,0.61,45
kosher salt,1,tablespoon,,-,-,-,-,45
red pepper flake,2,teaspoons,,-,-,-,-,45
cinnamon,2,teaspoons,ground,-,-,-,-,45
black pepper,to taste,,ground,0,0,0,0,45
olive oil,2,tablespoons,,238.68,0,0,27,45
beef broth,1,quart,,-,-,-,-,45
water,1,cup,boiling,0,0,0,0,45
spinach,2,cups,chopped,13.8,2.17,1.71,0.23,45
lime,2,,juiced,2.52,0.84,0.04,0,45
green onion,2,tablespoons,chopped,3.24,0.68,0.11,0.05,45
beef bouillon,2,cubes,,-,-,-,-,45
nonfat yogurt,1/2,cup,,-,-,-,-,45
parsley,2,tablespoons,chopped,2.73,0.48,0.22,0.06,45
leg duck,8,,,-,-,-,-,46
salt black pepper,to taste,,ground,-,-,-,-,46
vegetable oil,2,tablespoons,,234.46,0,0,27.2,46
water,1/4,cup,,0,0,0,0,46
olive oil,3,tablespoons,,358.02,0,0,40.5,46
yellow onion,2,cups,diced,128,29.88,3.52,0.32,46
turmeric,1,teaspoon,ground,9.36,2.01,0.29,0.09,46
cinnamon,1/2,teaspoon,ground,-,-,-,-,46
nutmeg,1/8,teaspoon,ground,1.44,0.13,0.01,0.09,46
chicken broth,6,cups,,468.72,11.34,66.83,15.72,46
pomegranate molasses,2/3,cup,,-,-,-,-,46
honey,1/4,cup,,-,-,-,-,46
walnut half,3,cups,,-,-,-,-,46
yogurt,2,cups,,298.9,22.83,17,15.92,47
cream,1/4,cup,sour,113.85,2.66,1.4,11.12,47
dill,1,teaspoon,,6.4,1.15,0.33,0.3,47
mint,1,teaspoon,,0.83,0.15,0.06,0.01,47
raisin,1/2,cup,,249.15,65.6,2.79,0.37,47
cucumber,1/2,,peeled diced,7.8,1.88,0.33,0.05,47
walnut,1/2,cup,chopped,963.56,0,0,109,47
arugula,1,bunch,,-,-,-,-,48
onion,2,,sliced,128,29.88,3.52,0.32,48
mushroom,1,cup,chopped,-,-,-,-,48
tomato,1,,diced,40.2,8.68,1.96,0.44,48
extra virgin olive oil,1,teaspoon,,-,-,-,-,48
lemon,1/2,,juiced,0.55,0.17,0,0,48
sumac,2,teaspoons,,-,-,-,-,48
salt,to taste,,,-,-,-,-,48
chickpea,1/3,cup,,252,41.96,13.64,4.02,49
kidney bean,1/3,cup,,17.78,2.51,2.57,0.3,49
olive oil,2,tablespoons,divided,238.68,0,0,27,49
red onion,1,,sliced,60,14.01,1.65,0.15,49
mint,1,tablespoon,,2.5,0.47,0.18,0.04,49
yellow onion,2,,sliced,-,-,-,-,49
garlic,6,cloves,minced,26.82,5.95,1.14,0.09,49
turmeric,2,teaspoons,ground,18.72,4.02,0.58,0.19,49
vegetable stock,6,cups,,66.3,12.33,3.18,0.92,49
parsley,3,cups,chopped,64.8,11.39,5.34,1.42,49
cilantro,2,cups,chopped,7.36,1.17,0.68,0.16,49
mint,2,cups,chopped,2.5,0.47,0.18,0.04,49
scallion,3,bunches,chopped,-,-,-,-,49
lentil,1/2,cup,,40.81,8.52,3.44,0.21,49
linguine pasta,1/2,pound,,845.88,170.24,29.73,3.44,49
spinach,1,pound,chopped,104.32,16.46,12.97,1.76,49
purpose flour,1,tablespoon,,-,-,-,-,49
salt pepper,,,ground,-,-,-,-,49
greek yogurt,1,cup,,-,-,-,-,49
water,1 1/2,cups,,0,0,0,0,50
white sugar,1,cup,,774,199.96,0,0,50
rose water,1/4,cup,,0,0,0,0,50
cardamom,1/3,teaspoon,ground,2.07,0.45,0.07,0.04,50
saffron,1,pinch,,0.13,0.02,0,0,50
butter,1/2,cup,,684,31.42,21.37,57.6,50
purpose flour,1 1/2,cups,,-,-,-,-,50
japanese eggplant,4,,,1613.87,0,359.04,9.06,51
butter,1,tablespoon,,85.5,3.92,2.67,7.2,51
onion,1,,diced,64,14.94,1.76,0.16,51
garlic,1,tablespoon,minced,12.66,2.81,0.54,0.04,51
rom tomato,5,,diced,1613.87,0,359.04,9.06,51
salt,1/2,teaspoon,,-,-,-,-,51
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,51
egg,6,,beaten,429,2.16,37.68,28.53,51
pita bread,4,,round,-,-,-,-,52
olive oil,1,tablespoon,,119.34,0,0,13.5,52
chicken breast half,4,,skinless boneless chopped,-,-,-,-,52
onion,2,,chopped,88,20.54,2.42,0.22,52
garlic,1,clove,minced,4.47,0.99,0.19,0.01,52
